"id","origin","org_city","org_district","destination","dest_city","dest_district","distance","duration","case","pallet","to","dayo","td","dayd","LTL","maxDelay","lateCost"
23,"B0FFK4CQ2L","Changzhou","武进区","B0IG9RDYYV","Suzhou","吴中区",110.237,1.7,"JS",20,"08:00","day 0","18:00","day 0",7548.68188,2,50
24,"B0FFF8Z69A","Changzhou","钟楼区","B0FFKSVI1S","Shanghai","奉贤区",220.211,3.03333333333333,"JS",8,"12:00","day 0","22:00","day 0",3019.472752,2,100
25,"B0FFG2575E","Zhenjiang","润州区","B0IG9RDYYV","Suzhou","吴中区",190.64,2.45,"JS",10,"12:00","day 0","22:00","day 0",3774.34094,2,50
26,"B0FFHXJXZR","Changzhou","溧阳市","B0FFHF2VI7","Wuxi","锡山区",111.414,1.76666666666667,"JS",13,"08:00","day 0","18:00","day 0",4906.643222,2,50
27,"B0FFHXJXZR","Changzhou","溧阳市","B0FFG94S3Z","Shanghai","浦东新区",246.933,2.95,"JS",15,"08:00","day 0","18:00","day 0",5661.51141,2,100
28,"B0FFITJD3C","Wuxi","锡山区","B0FFI9JCED","Shanghai","青浦区",109.624,1.63333333333333,"JS",21,"12:00","day 0","22:00","day 0",7926.115974,2,50
29,"B0FFL7OZ0J","Wuxi","锡山区","B0FFL37B6B","Suzhou","昆山市",101.889,1.56666666666667,"JS",6,"08:00","day 0","18:00","day 0",2264.604564,2,50
30,"B0FFITJD3C","Wuxi","锡山区","B0FFKSVI1S","Shanghai","奉贤区",147.085,2.05,"JS",14,"12:00","day 0","22:00","day 0",5284.077316,2,100
31,"B0FFHF2VI7","Wuxi","锡山区","B0FFI9JCED","Shanghai","青浦区",116.785,1.81666666666667,"JS",14,"08:00","day 0","18:00","day 0",5284.077316,4,50
32,"B0FFL7OZ0J","Wuxi","锡山区","B0FFI9JCED","Shanghai","青浦区",121.232,1.8,"JS",16,"08:00","day 0","18:00","day 0",6038.945504,4,50
33,"B0FFF8Z69A","Changzhou","钟楼区","B02000JR6M","Suzhou","相城区",105.505,1.71666666666667,"JS",9,"08:00","day 0","18:00","day 0",3396.906846,2,100
34,"B0FFF4HNKG","Yangzhou","邗江区","B0FFLCF954","Shanghai","宝山区",247.853,3.41666666666667,"JS",12,"08:00","day 0","18:00","day 0",4529.209128,4,50
35,"B0G13KYBJL","Nanjing","六合区","B0FFKDRXE8","Shanghai","浦东新区",365.282,4.4,"JS",8,"12:00","day 0","22:00","day 0",3019.472752,2,100
36,"B0G13KYBJL","Nanjing","六合区","B0FFJ1CPHP","Shanghai","嘉定区",297.153,3.6,"JS",8,"08:00","day 0","18:00","day 0",3019.472752,2,100
37,"B0FFK7ZQFN","Wuxi","江阴市","B00156D6K6","Shanghai","浦东新区",159.098,2.13333333333333,"JS",19,"08:00","day 0","18:00","day 0",7171.247786,2,50
38,"B01FE0J0V7","Wuxi","惠山区","B0FFG94S3Z","Shanghai","浦东新区",169.63,2.23333333333333,"JS",12,"08:00","day 0","18:00","day 0",4529.209128,4,100
39,"B0FFJONTQ7","Changzhou","新北区","B0FFI9JCED","Shanghai","青浦区",172.658,2.36666666666667,"JS",13,"12:00","day 0","22:00","day 0",4906.643222,2,50
40,"B0FFIS83Q7","Zhenjiang","丹阳市","B0FFH62FC9","Shanghai","金山区",237.496,3.16666666666667,"JS",10,"12:00","day 0","22:00","day 0",3774.34094,2,50
41,"B0FFH1DRA5","Nanjing","栖霞区","B0FFG94S3Z","Shanghai","浦东新区",313.782,3.65,"JS",6,"08:00","day 0","18:00","day 0",2264.604564,4,100
42,"B0FFL9CGXN","Nanjing","栖霞区","B0FFGO36Q6","Shanghai","浦东新区",314.77,4.1,"JS",7,"12:00","day 0","22:00","day 0",2642.038658,2,100
43,"B0FFIS83Q7","Zhenjiang","丹阳市","B0FFHDQA5M","Suzhou","常熟市",158.71,2.15,"JS",16,"08:00","day 0","18:00","day 0",6038.945504,4,50
44,"B0FFL9Q85P","Nanjing","江宁区","B0FFHNXOVT","Suzhou","昆山市",265.763,3.11666666666667,"JS",16,"08:00","day 0","18:00","day 0",6038.945504,4,100
45,"B0G0NZW2VU","Nanjing","江宁区","B0FFLCF954","Shanghai","宝山区",273.972,3.7,"JS",9,"08:00","day 0","18:00","day 0",3396.906846,2,50
46,"B0FFL9Q85P","Nanjing","江宁区","B0FFJ1CPHP","Shanghai","嘉定区",272.21,3.25,"JS",16,"12:00","day 0","22:00","day 0",6038.945504,4,100
47,"B0G13KYBJL","Nanjing","六合区","B01FE15UUN","Wuxi","江阴市",221.432,2.66666666666667,"JS",17,"08:00","day 0","18:00","day 0",6416.379598,4,50
48,"B0FFL9CGXN","Nanjing","栖霞区","B0FFH61OBO","Suzhou","昆山市",244.017,3.21666666666667,"JS",18,"12:00","day 0","22:00","day 0",6793.813692,2,50
49,"B0FFL9CGXN","Nanjing","栖霞区","B0FFL37B6B","Suzhou","昆山市",249.823,3.35,"JS",14,"12:00","day 0","22:00","day 0",5284.077316,2,50
50,"B0FFL7OZ0J","Wuxi","锡山区","B0FFKSVI1S","Shanghai","奉贤区",158.693,2.25,"JS",10,"08:00","day 0","18:00","day 0",3774.34094,2,50
51,"B0FFHXJXZR","Changzhou","溧阳市","B02001C3PG","Suzhou","张家港市",137.954,1.86666666666667,"JS",8,"12:00","day 0","22:00","day 0",3019.472752,2,50
52,"B0FFF8Z69A","Changzhou","钟楼区","B0FFHD3E8G","Suzhou","吴中区",119.803,1.8,"JS",7,"08:00","day 0","18:00","day 0",2642.038658,2,100
53,"B0FFF8Z69A","Changzhou","钟楼区","B0IG9RDYYV","Suzhou","吴中区",136.444,2.05,"JS",20,"12:00","day 0","22:00","day 0",7548.68188,2,50
54,"B0FFF8Z69A","Changzhou","钟楼区","B0FFHFSCFH","Suzhou","吴中区",137.799,2.13333333333333,"JS",15,"08:00","day 0","18:00","day 0",5661.51141,4,50
55,"B0FFFRXR3L","Yangzhou","宝应县","B0FFFU612V","Wuxi","江阴市",213.789,2.9,"JS",19,"12:00","day 0","22:00","day 0",7171.247786,4,50
56,"B0FFG0GSMW","Yangzhou","宝应县","B02001C3PG","Suzhou","张家港市",225.517,3.46666666666667,"JS",16,"08:00","day 0","18:00","day 0",6038.945504,2,100
57,"B0FFFRXR3L","Yangzhou","宝应县","B02001C3PG","Suzhou","张家港市",225.923,3.45,"JS",22,"08:00","day 0","18:00","day 0",8303.550068,4,50
58,"B0GUAXEBYM","Changzhou","武进区","B0FFJ1CPHP","Shanghai","嘉定区",167.831,2.06666666666667,"JS",14,"08:00","day 0","18:00","day 0",5284.077316,4,50
59,"B0FFJONTQ7","Changzhou","新北区","B0FFGIBTXI","Suzhou","太仓市",145.61,2.05,"JS",7,"12:00","day 0","22:00","day 0",2642.038658,4,100
60,"B0FFL9CGXN","Nanjing","栖霞区","B00156D6K6","Shanghai","浦东新区",309.736,4.18333333333333,"JS",13,"12:00","day 0","22:00","day 0",4906.643222,2,50
61,"B0FFJONTQ7","Changzhou","新北区","B0FFJRVTYE","Shanghai","松江区",195.042,2.48333333333333,"JS",13,"12:00","day 0","22:00","day 0",4906.643222,2,100
62,"B0FFGTI293","Changzhou","新北区","B0FFJRVTYE","Shanghai","松江区",201.213,2.51666666666667,"JS",19,"12:00","day 0","22:00","day 0",7171.247786,4,50
63,"B0FFJONTQ7","Changzhou","新北区","B0FFGPRVIT","Shanghai","松江区",191.17,2.5,"JS",15,"08:00","day 0","18:00","day 0",5661.51141,2,50
64,"B0FFHE4XO4","Changzhou","武进区","B0FFHNXOVT","Suzhou","昆山市",154.621,2.23333333333333,"JS",7,"08:00","day 0","18:00","day 0",2642.038658,2,100
65,"B0FFHXJXZR","Changzhou","溧阳市","B0FFLCF954","Shanghai","宝山区",221.607,3.06666666666667,"JS",15,"12:00","day 0","22:00","day 0",5661.51141,2,50
66,"B0FFFU612V","Wuxi","江阴市","B0FFKDRXE8","Shanghai","浦东新区",206.87,2.83333333333333,"JS",17,"12:00","day 0","22:00","day 0",6416.379598,4,50
67,"B0FFK4CQ2L","Changzhou","武进区","B0FFLCF954","Shanghai","宝山区",159.587,2.58333333333333,"JS",17,"08:00","day 0","18:00","day 0",6416.379598,4,50
68,"B0FFGYNGHQ","Changzhou","武进区","B0FFLCF954","Shanghai","宝山区",166.35,2.6,"JS",7,"08:00","day 0","18:00","day 0",2642.038658,2,100
69,"B0GUAXEBYM","Changzhou","武进区","B0FFLCF954","Shanghai","宝山区",166.877,2.56666666666667,"JS",9,"08:00","day 0","18:00","day 0",3396.906846,2,100
70,"B0FFK4CQ2L","Changzhou","武进区","B00156D6K6","Shanghai","浦东新区",197.113,2.63333333333333,"JS",17,"12:00","day 0","22:00","day 0",6416.379598,2,100
71,"B0FFK7ZQFN","Wuxi","江阴市","B0FFJ1CPHP","Shanghai","嘉定区",103.458,1.41666666666667,"JS",8,"08:00","day 0","18:00","day 0",3019.472752,4,50
72,"B01FE15XQH","Wuxi","江阴市","B0FFKDRXE8","Shanghai","浦东新区",206.797,2.96666666666667,"JS",9,"08:00","day 0","18:00","day 0",3396.906846,4,100
73,"B0FFHF2VI7","Wuxi","锡山区","B0FFJ1CPHP","Shanghai","嘉定区",125.825,1.76666666666667,"JS",17,"08:00","day 0","18:00","day 0",6416.379598,2,50
74,"B0FFITJD3C","Wuxi","锡山区","B0FFJ1CPHP","Shanghai","嘉定区",118.664,1.58333333333333,"JS",17,"08:00","day 0","18:00","day 0",6416.379598,4,50
75,"B0FFFTQ4U7","Wuxi","江阴市","B0FFG94S3Z","Shanghai","浦东新区",143.624,2.01666666666667,"JS",7,"12:00","day 0","22:00","day 0",2642.038658,4,50
76,"B0FFHXJXZR","Changzhou","溧阳市","B0FFH62FC9","Shanghai","金山区",233.857,2.65,"JS",18,"12:00","day 0","22:00","day 0",6793.813692,2,100
77,"B0GUAXEBYM","Changzhou","武进区","B0FFHFSCFH","Suzhou","吴中区",113.84,1.68333333333333,"JS",17,"12:00","day 0","22:00","day 0",6416.379598,2,100
78,"B0FFGTI293","Changzhou","新北区","B0FFL37B6B","Suzhou","昆山市",159.486,2.18333333333333,"JS",9,"12:00","day 0","22:00","day 0",3396.906846,2,50
79,"B0FFGTI293","Changzhou","新北区","B0FFF4JOKL","Suzhou","昆山市",161.689,2.23333333333333,"JS",20,"08:00","day 0","18:00","day 0",7548.68188,2,100
80,"B0FFHCRHH3","Changzhou","天宁区","B0FFG94S3Z","Shanghai","浦东新区",189.792,2.36666666666667,"JS",13,"12:00","day 0","22:00","day 0",4906.643222,2,50
81,"B0FFHE4XO4","Changzhou","武进区","B0FFL37B6B","Suzhou","昆山市",145.697,2.21666666666667,"JS",17,"12:00","day 0","22:00","day 0",6416.379598,4,50
82,"B0FFL9Q85P","Nanjing","江宁区","B0FFGJ1NAK","Suzhou","常熟市",215.323,2.68333333333333,"JS",21,"08:00","day 0","18:00","day 0",7926.115974,4,100
83,"B0FFL9Q85P","Nanjing","江宁区","B0FFHDQA5M","Suzhou","常熟市",228.472,2.73333333333333,"JS",18,"08:00","day 0","18:00","day 0",6793.813692,2,50
84,"B0FFK83QI3","Nanjing","江宁区","B0FFKDRXE8","Shanghai","浦东新区",329.524,3.88333333333333,"JS",15,"12:00","day 0","22:00","day 0",5661.51141,2,100
85,"B00190CNHV","Nanjing","江宁区","B0FFLCF954","Shanghai","宝山区",279.395,3.7,"JS",7,"08:00","day 0","18:00","day 0",2642.038658,2,100
86,"B0202173FW","Yangzhou","仪征市","B0FFGIBTXI","Suzhou","太仓市",250.701,3.11666666666667,"JS",9,"08:00","day 0","18:00","day 0",3396.906846,4,50
87,"B00190CNHV","Nanjing","江宁区","B0FFL7OZ0J","Wuxi","锡山区",186.013,2.53333333333333,"JS",16,"08:00","day 0","18:00","day 0",6038.945504,2,100
88,"B0FFG9F43K","Changzhou","武进区","B00156ODDT","Shanghai","长宁区",151.174,1.96666666666667,"JS",22,"08:00","day 0","18:00","day 0",8303.550068,2,50
89,"B0FFGYNGHQ","Changzhou","武进区","B00156ODDT","Shanghai","长宁区",168.756,2.13333333333333,"JS",12,"12:00","day 0","22:00","day 0",4529.209128,2,100
90,"B0FFGYNGHQ","Changzhou","武进区","B0FFJ1CPHP","Shanghai","嘉定区",159.205,2.13333333333333,"JS",11,"12:00","day 0","22:00","day 0",4151.775034,2,50
91,"B0FFH1DRA5","Nanjing","栖霞区","B0FFLCF954","Shanghai","宝山区",283.066,3.61666666666667,"JS",16,"12:00","day 0","22:00","day 0",6038.945504,4,50
92,"B0FFF8Z69A","Changzhou","钟楼区","B0FFH6WPC3","Shanghai","金山区",212.576,2.96666666666667,"JS",18,"12:00","day 0","22:00","day 0",6793.813692,2,50
93,"B0FFIS83Q7","Zhenjiang","丹阳市","B0FFJ1CPHP","Shanghai","嘉定区",202.448,2.7,"JS",16,"08:00","day 0","18:00","day 0",6038.945504,2,100
94,"B01FE0J0V7","Wuxi","惠山区","B0FFJ1CPHP","Shanghai","嘉定区",144.781,1.88333333333333,"JS",16,"12:00","day 0","22:00","day 0",6038.945504,2,100
95,"B0FFGYNGHQ","Changzhou","武进区","B0FFKDRXE8","Shanghai","浦东新区",227.463,2.96666666666667,"JS",8,"08:00","day 0","18:00","day 0",3019.472752,4,50
96,"B0FFGTI293","Changzhou","新北区","B00156D6K6","Shanghai","浦东新区",219.399,2.83333333333333,"JS",10,"08:00","day 0","18:00","day 0",3774.34094,2,50
97,"B0FFGTI293","Changzhou","新北区","B00156GGDT","Shanghai","闵行区",215.314,2.93333333333333,"JS",22,"08:00","day 0","18:00","day 0",8303.550068,2,50
98,"B0FFG9F43K","Changzhou","武进区","B0FFJ1CPHP","Shanghai","嘉定区",141.752,1.96666666666667,"JS",21,"08:00","day 0","18:00","day 0",7926.115974,4,100
99,"B0FFL7OZ0J","Wuxi","锡山区","B0FFG94S3Z","Shanghai","浦东新区",155.121,2.06666666666667,"JS",18,"12:00","day 0","22:00","day 0",6793.813692,2,100
100,"B0FFIS83Q7","Zhenjiang","丹阳市","B0FFKSVI1S","Shanghai","奉贤区",243.881,3.23333333333333,"JS",16,"12:00","day 0","22:00","day 0",6038.945504,4,100
101,"B0FFFRS0IH","Nanjing","江宁区","B0FFHY6PN3","Suzhou","常熟市",207.279,2.48333333333333,"JS",10,"08:00","day 0","18:00","day 0",3774.34094,4,100
102,"B0FFL9Q85P","Nanjing","江宁区","B0FFHY6PN3","Suzhou","常熟市",213.845,2.58333333333333,"JS",14,"08:00","day 0","18:00","day 0",5284.077316,2,50
103,"B0FFGTI293","Changzhou","新北区","B0FFHNXOVT","Suzhou","昆山市",168.41,2.2,"JS",12,"12:00","day 0","22:00","day 0",4529.209128,2,100
104,"B0FFIS83Q7","Zhenjiang","丹阳市","B02000JJ21","Suzhou","吴中区",153.841,2.16666666666667,"JS",17,"08:00","day 0","18:00","day 0",6416.379598,2,100
105,"B0G13KYBJL","Nanjing","六合区","B0FFFTQ4U7","Wuxi","江阴市",206.645,2.6,"JS",7,"08:00","day 0","18:00","day 0",2642.038658,2,100
106,"B0FFGYNGHQ","Changzhou","武进区","B00156GGDT","Shanghai","闵行区",199.791,2.61666666666667,"JS",11,"12:00","day 0","22:00","day 0",4151.775034,2,100
107,"B0FFFTQ4U7","Wuxi","江阴市","B0FFGO36Q6","Shanghai","浦东新区",155.339,2.26666666666667,"JS",21,"08:00","day 0","18:00","day 0",7926.115974,4,50
108,"B01FE0J0V7","Wuxi","惠山区","B00156GGDT","Shanghai","闵行区",172.226,2.4,"JS",15,"12:00","day 0","22:00","day 0",5661.51141,4,50
109,"B0FFF8Z69A","Changzhou","钟楼区","B0FFGJ1NAK","Suzhou","常熟市",121.891,1.95,"JS",9,"12:00","day 0","22:00","day 0",3396.906846,4,100
110,"B0FFFU612V","Wuxi","江阴市","B0FFGIBTXI","Suzhou","太仓市",107.175,1.65,"JS",18,"12:00","day 0","22:00","day 0",6793.813692,2,100
111,"B01FE15XQH","Wuxi","江阴市","B0FFKZGWZ9","Suzhou","太仓市",121.397,1.86666666666667,"JS",10,"12:00","day 0","22:00","day 0",3774.34094,2,50
112,"B0FFGTI293","Changzhou","新北区","B0FFI9JCED","Shanghai","青浦区",178.829,2.41666666666667,"JS",12,"08:00","day 0","18:00","day 0",4529.209128,2,50
113,"B0202173FW","Yangzhou","仪征市","B0FFJ1CPHP","Shanghai","嘉定区",273.777,3.33333333333333,"JS",17,"08:00","day 0","18:00","day 0",6416.379598,4,50
114,"B0FFF8Z69A","Changzhou","钟楼区","B0FFJ1CPHP","Shanghai","嘉定区",178.778,2.55,"JS",17,"08:00","day 0","18:00","day 0",6416.379598,2,50
115,"B0FFH1DRA5","Nanjing","栖霞区","B0FFHC9CJ8","Suzhou","相城区",197.382,2.56666666666667,"JS",17,"08:00","day 0","18:00","day 0",6416.379598,2,100
116,"B0202150WR","Yangzhou","广陵区","B0FFKZGWZ9","Suzhou","太仓市",214.423,2.7,"JS",12,"12:00","day 0","22:00","day 0",4529.209128,2,100
117,"B01FE0J0V7","Wuxi","惠山区","B0FFGAIWAV","Suzhou","昆山市",112.206,1.56666666666667,"JS",18,"08:00","day 0","18:00","day 0",6793.813692,2,100
118,"B01FE15XQH","Wuxi","江阴市","B0FFH61OBO","Suzhou","昆山市",139.653,1.93333333333333,"JS",15,"12:00","day 0","22:00","day 0",5661.51141,2,50
119,"B0FFFRS0IH","Nanjing","江宁区","B02001C3PG","Suzhou","张家港市",189.136,2.36666666666667,"JS",22,"08:00","day 0","18:00","day 0",8303.550068,4,100
120,"B0FFK4CQ2L","Changzhou","武进区","B0FFH62FC9","Shanghai","金山区",187.619,2.55,"JS",12,"12:00","day 0","22:00","day 0",4529.209128,2,100
121,"B01FE15UUN","Wuxi","江阴市","B0FFKSVI1S","Shanghai","奉贤区",164.09,2.25,"JS",13,"12:00","day 0","22:00","day 0",4906.643222,2,50
122,"B0G13KYBJL","Nanjing","六合区","B0FFF4JOKL","Suzhou","昆山市",283.985,3.45,"JS",12,"08:00","day 0","18:00","day 0",4529.209128,4,100
123,"B0G13KYBJL","Nanjing","六合区","B0FFITJD3C","Wuxi","锡山区",218.578,3.26666666666667,"JS",21,"12:00","day 0","22:00","day 0",7926.115974,4,50
124,"B020216GML","Yangzhou","广陵区","B0FFG94S3Z","Shanghai","浦东新区",273.919,3.65,"JS",10,"12:00","day 0","22:00","day 0",3774.34094,4,50
125,"B0FFHXJXZR","Changzhou","溧阳市","B0FFGJ1NAK","Suzhou","常熟市",157.575,2.11666666666667,"JS",17,"12:00","day 0","22:00","day 0",6416.379598,2,50
126,"B0FFJONTQ7","Changzhou","新北区","B0FFG94S3Z","Shanghai","浦东新区",206.547,2.65,"JS",7,"08:00","day 0","18:00","day 0",2642.038658,4,50
127,"B0FFF8Z69A","Changzhou","钟楼区","B0FFH62FC9","Shanghai","金山区",213.826,2.88333333333333,"JS",16,"08:00","day 0","18:00","day 0",6038.945504,4,50
128,"B0FFF8Z69A","Changzhou","钟楼区","B0FFLCF954","Shanghai","宝山区",185.923,2.96666666666667,"JS",11,"12:00","day 0","22:00","day 0",4151.775034,2,50
129,"B0FFK4CQ2L","Changzhou","武进区","B0FFGIBTXI","Suzhou","太仓市",129.366,1.93333333333333,"JS",20,"12:00","day 0","22:00","day 0",7548.68188,4,50
130,"B0FFF8Z69A","Changzhou","钟楼区","B0FFF4JOKL","Suzhou","昆山市",165.61,2.36666666666667,"JS",7,"08:00","day 0","18:00","day 0",2642.038658,4,50
131,"B0FFF8Z69A","Changzhou","钟楼区","B02001C3PG","Suzhou","张家港市",102.27,1.71666666666667,"JS",21,"08:00","day 0","18:00","day 0",7926.115974,4,50
132,"B0G0NZW2VU","Nanjing","江宁区","B0FFHNXOVT","Suzhou","昆山市",260.509,3.23333333333333,"JS",8,"08:00","day 0","18:00","day 0",3019.472752,4,100
133,"B0FFK83QI3","Nanjing","江宁区","B0FFL37B6B","Suzhou","昆山市",246.024,2.88333333333333,"JS",21,"08:00","day 0","18:00","day 0",7926.115974,4,100
134,"B0FFL9Q85P","Nanjing","江宁区","B0FFH61OBO","Suzhou","昆山市",251.033,2.95,"JS",19,"08:00","day 0","18:00","day 0",7171.247786,2,50
135,"B0FFHLH9SB","Zhenjiang","京口区","B0FFGIBTXI","Suzhou","太仓市",189.192,2.45,"JS",21,"12:00","day 0","22:00","day 0",7926.115974,2,50
136,"B0FFHCRHH3","Changzhou","天宁区","B0FFKDRXE8","Shanghai","浦东新区",220.06,2.88333333333333,"JS",16,"12:00","day 0","22:00","day 0",6038.945504,2,50
137,"B0FFL7OZ0J","Wuxi","锡山区","B0FFH62FC9","Shanghai","金山区",152.308,2.08333333333333,"JS",12,"12:00","day 0","22:00","day 0",4529.209128,4,100
138,"B0FFITJD3C","Wuxi","锡山区","B00156D6K6","Shanghai","浦东新区",150.194,2.01666666666667,"JS",15,"08:00","day 0","18:00","day 0",5661.51141,4,50
139,"B0FFL7OZ0J","Wuxi","锡山区","B0FFJRVTYE","Shanghai","松江区",143.616,1.91666666666667,"JS",6,"08:00","day 0","18:00","day 0",2264.604564,4,100
140,"B0FFHF2VI7","Wuxi","锡山区","B0FFGO36Q6","Shanghai","浦东新区",162.389,2.3,"JS",9,"08:00","day 0","18:00","day 0",3396.906846,4,100
141,"B0FFL7OZ0J","Wuxi","锡山区","B0G2MKTPMP","Shanghai","松江区",127.539,1.73333333333333,"JS",14,"08:00","day 0","18:00","day 0",5284.077316,2,50
142,"B0FFL7OZ0J","Wuxi","锡山区","B0FFFA2AO6","Shanghai","松江区",138.672,1.95,"JS",12,"08:00","day 0","18:00","day 0",4529.209128,2,50
143,"B0G13KYBJL","Nanjing","六合区","B00156GGDT","Shanghai","闵行区",337.61,4.3,"JS",10,"08:00","day 0","18:00","day 0",3774.34094,2,50
144,"B01FE15XQH","Wuxi","江阴市","B0FFG94S3Z","Shanghai","浦东新区",181.808,2.56666666666667,"JS",16,"08:00","day 0","18:00","day 0",6038.945504,2,50
145,"B0FFH3869T","Zhenjiang","句容市","B02001C3PG","Suzhou","张家港市",188.214,2.41666666666667,"JS",20,"08:00","day 0","18:00","day 0",7548.68188,4,50
146,"B0FFGTI293","Changzhou","新北区","B0FFGIBTXI","Suzhou","太仓市",151.781,2.1,"JS",13,"08:00","day 0","18:00","day 0",4906.643222,4,50
147,"B0FFHJD9U9","Wuxi","惠山区","B0FFKZGWZ9","Suzhou","太仓市",118.934,1.81666666666667,"JS",13,"12:00","day 0","22:00","day 0",4906.643222,2,100
148,"B0FFHXJXZR","Changzhou","溧阳市","B0FFI9JCED","Shanghai","青浦区",213.82,2.4,"JS",22,"12:00","day 0","22:00","day 0",8303.550068,2,100
149,"B0FFIS83Q7","Zhenjiang","丹阳市","B0FFLCF954","Shanghai","宝山区",209.593,3.08333333333333,"JS",14,"08:00","day 0","18:00","day 0",5284.077316,2,100
150,"B0FFF8Z69A","Changzhou","钟楼区","B01FE15UUN","Wuxi","江阴市",103.057,1.66666666666667,"JS",7,"08:00","day 0","18:00","day 0",2642.038658,4,50
151,"B0FFHXJXZR","Changzhou","溧阳市","B0FFFOM198","Suzhou","虎丘区",120.219,1.63333333333333,"JS",12,"08:00","day 0","18:00","day 0",4529.209128,2,50
152,"B0FFL9CGXN","Nanjing","栖霞区","B00156GGDT","Shanghai","闵行区",305.651,4.23333333333333,"JS",8,"12:00","day 0","22:00","day 0",3019.472752,4,50
153,"B0FFHE4XO4","Changzhou","武进区","B0FFJ1CPHP","Shanghai","嘉定区",160.939,2.36666666666667,"JS",16,"08:00","day 0","18:00","day 0",6038.945504,4,100
154,"B0FFF8Z69A","Changzhou","钟楼区","B0FFGIBTXI","Suzhou","太仓市",155.702,2.3,"JS",16,"12:00","day 0","22:00","day 0",6038.945504,4,50
